crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,efg_code,efg_name,efg_description,pixel_value
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Cambodia_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Cambodia_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,China_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Ecuador_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,ElSalvador_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Honduras_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,No Data,NA No Data,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,India_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Indonesia_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Malaysia_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,No Data,NA No Data,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Mexico_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,No Data,NA No Data,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,3,NA,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Myanmar_Landcover_2022,Value,7,NA,NA,F3.4,Freshwater aquafarms,F3.4 Freshwater aquafarms,110
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,No Data,NA No Data,255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Nicaragua_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Philippines_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,SriLanka_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,M4.2,Marine aquafarms,M4.2 Marine aquafarms,155
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Thailand_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,1,NA,NA,MFT1.2,Intertidal forests and shrublands,MFT1.2 Intertidal forests and shrublands,169
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,2,"coastal wetlands include any non-mangrove wetland, fresh or brackish, that occurs within the defined coastal zone",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,3,Pond aquaculture is understood to mean brackish pond aquaculture,NA,F3.4,Freshwater aquafarms,F3.4 Freshwater aquafarms,110
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,4,NA,NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,5,"all other types of land cover – primarily cropland, non-mangrove forests and settlements",NA,NA,Cross-referenced to 255 due to incompatible class descriptions,No Data (data exists in source maps but cross-referenced to no data due to incompatible class descriptions),255
16/12/2025,Alli Lynn,2.1,293,cu_global_lcov_2024,Vietnam_Landcover_2022,Value,6,NA,NA,0,No Data,No Data,0
